"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6,C9,C10,C11,C14,C15,C16,C17";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";8;"100nf";;;
2;"C7,C8,C18,C19,C20,C21,C22,C23";"C_Elec_10x10.2";8;"330uf";;;
3;"C12,C13";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"10uf";;;
4;"D1";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"B340A";;;
5;"D2";"D_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"Vdrive";;;
6;"D3";"D_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"5v";;;
7;"D4";"D_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"15v";;;
8;"D5";"D_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"3.3v";;;
9;"J1,J4";"PinSocket_1x12_P2.54mm_Vertical";2;"Module 1";;;
10;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Jumper";;;
11;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"Motor";;;
12;"J5";"TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal";1;"Ext Mot Drv";;;
13;"J6";"TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal";1;"01x02";;;
14;"J7";"RJ45_OST_PJ012-8P8CX_Vertical";1;"THC_Display";;;
15;"J8";"PinSocket_1x12_P2.54mm_Vertical";1;"Module 2";;;
16;"J9";"PinHeader_1x03_P2.54mm_Vertical";1;"VMot";;;
17;"J10";"PinSocket_1x12_P2.54mm_Vertical";1;"Module 3";;;
18;"J11";"PinHeader_2x05_P1.27mm_Vertical";1;"JTAG";;;
19;"J12";"PinHeader_1x03_P2.54mm_Vertical";1;"Shift Regs and Motor Drvs";;;
20;"J13";"PinSocket_1x12_P2.54mm_Vertical";1;"Module 4";;;
21;"J14";"PinSocket_1x12_P2.54mm_Vertical";1;"Module 5";;;
22;"J15";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro_SD_Card";;;
23;"J16,J17,J18,J19,J20,J21";"RJ45_OST_PJ012-8P8CX_Vertical";6;"RJ45";;;
24;"JP1,JP3,JP4";"PinHeader_1x03_P2.54mm_Vertical";3;"MS1";;;
25;"JP2";"PinHeader_1x03_P2.54mm_Vertical";1;"MS2";;;
26;"L1,L2";"L_Coilcraft_XAL5030";2;"22uh";;;
27;"PS1,PS2";"Buck_Module";2;"DC-DC_BuckAdg";;;
28;"R16,R17,R18,R19";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"10k";;;
29;"R20,R21,R22,R23";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"1k";;;
30;"U1,U3";"ESP32_38p";2;"ESP32_38p";;;
31;"U2";"SOP-16_3.9x9.9mm_P1.27mm";1;"74LVC157A";;;
32;"U4";"SOT-223";1;"TC1262-33";;;
33;"U5,U6,U7,U8";"SO-16_5.3x10.2mm_P1.27mm";4;"74AHCT595";;;
34;"U9";"ClearpathDriver";1;"X";;;
35;"U10";"ClearpathDriver";1;"Y";;;
36;"U11";"ClearpathDriver";1;"z";;;
37;"U12";"ClearpathDriver";1;"A";;;
38;"U13";"ClearpathDriver";1;"B";;;
39;"U14";"ClearpathDriver";1;"C";;;
